Site,Season,Date,Type,Transect,Plot,Salinity,Redox,pH,Sulfide,Blank,Original Dataset
Cutts Cove,2019,10/20/2019,Living Shoreline,Low,1,,449,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,Low,2,,490,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,Low,3,,392,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,Low,4,,263,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,Low,5,,87,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,Low,6,,464,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,Low,7,,470,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,Low,8,,441,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,Low,9,,479,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,Low,10,,358,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,High,1,,,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,High,2,,457,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,High,3,,307,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,High,4,,452,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,High,5,,408,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,High,6,,468,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,High,7,,396,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,High,8,,158,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,High,9,,476,,,Dry Soil Redox,
Cutts Cove,2019,10/20/2019,Living Shoreline,High,10,,456,,,Dry Soil Redox,
Cutts Cove,2019,8/7/2019,Reference,Low,1,16,-68,6.88,,Dry Soil Redox,
Cutts Cove,2019,8/7/2019,Reference,Low,2,15,-370.5,6.72,3.4657,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,Low,3,15,-344.2,7.18,0.8998,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,Low,4,14,-355.1,6.77,3.4546,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,Low,5,9,-326,6.75,3.3489,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,Low,6,10,-308.1,6.64,2.5941,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,Low,7,21,-322,6.87,3.519,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,Low,8,18,-326.9,6.69,3.598,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,Low,9,25,-326.5,6.93,3.5033,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,Low,10,25,-299.9,6.77,2.8312,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,High,1,12,-305.2,6.75,3.1273,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,High,2,11,-293.4,6.77,1.7834,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,High,3,10,-281.7,6.72,0.995,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,High,4,9,-288.6,6.49,2.3205,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,High,5,9,-269.9,6.34,1.469,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,High,6,10,-281,6.29,2.4162,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,High,7,6,-173.3,6.57,0.0662,Porewater Redox,
Cutts Cove,2019,8/7/2019,Reference,High,8,,,,,No Sample,
Cutts Cove,2019,8/7/2019,Reference,High,9,,,,,No Sample,
Cutts Cove,2019,,Reference,High,10,20,-296.5,6.46,0.3287,Porewater Redox,No Action Control low marsh substituted for values in fake high marsh
Cutts Cove,2019,,No Action Control,High,1,,,,,No Sample,No Action Control low marsh substituted for values in fake high marsh
Cutts Cove,2019,,No Action Control,High,2,25,9.5,7.43,0.1782,Porewater Redox,No Action Control low marsh substituted for values in fake high marsh
Cutts Cove,2019,,No Action Control,High,3,27,-113,7.51,0.8792,Porewater Redox,No Action Control low marsh substituted for values in fake high marsh
Cutts Cove,2019,,No Action Control,High,4,,,,,No Sample,No Action Control low marsh substituted for values in fake high marsh
Cutts Cove,2019,,No Action Control,High,5,26,17.3,7.55,1.397,Porewater Redox,No Action Control low marsh substituted for values in fake high marsh
Cutts Cove,2019,,No Action Control,High,6,28,70.9,7.46,1.6701,Porewater Redox,No Action Control low marsh substituted for values in fake high marsh
Cutts Cove,2019,,No Action Control,High,7,28,28.4,7.5,0.8031,Porewater Redox,No Action Control low marsh substituted for values in fake high marsh
Cutts Cove,2019,,No Action Control,High,8,30,3.6,7.39,1.6629,Porewater Redox,No Action Control low marsh substituted for values in fake high marsh
Cutts Cove,2019,,No Action Control,High,9,29,29.5,7.42,2.0886,Porewater Redox,No Action Control low marsh substituted for values in fake high marsh
Cutts Cove,2019,,No Action Control,High,10,,,,,No Sample,
Cutts Cove,2019,8/7/2019,No Action Control,Low,1,,,,,No Sample,
Cutts Cove,2019,8/7/2019,No Action Control,Low,2,25,9.5,7.43,0.1782,Porewater Redox,
Cutts Cove,2019,8/7/2019,No Action Control,Low,3,27,-113,7.51,0.8792,Porewater Redox,
Cutts Cove,2019,8/7/2019,No Action Control,Low,4,,,,,No Sample,
Cutts Cove,2019,8/7/2019,No Action Control,Low,5,26,17.3,7.55,1.397,Porewater Redox,
Cutts Cove,2019,8/7/2019,No Action Control,Low,6,28,70.9,7.46,1.6701,Porewater Redox,
Cutts Cove,2019,8/7/2019,No Action Control,Low,7,28,28.4,7.5,0.8031,Porewater Redox,
Cutts Cove,2019,8/7/2019,No Action Control,Low,8,30,3.6,7.39,1.6629,Porewater Redox,
Cutts Cove,2019,8/7/2019,No Action Control,Low,9,29,29.5,7.42,2.0886,Porewater Redox,
Cutts Cove,2019,8/7/2019,No Action Control,Low,10,,,,,No Sample,
North Mill Pond,2019,11/3/2019,Living Shoreline,High,1,,488,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Living Shoreline,High,2,,244,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Living Shoreline,High,3,,244,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Living Shoreline,High,4,,302.1,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Living Shoreline,High,5,,227.1,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Living Shoreline,High,6,,436.4,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Living Shoreline,High,7,,244,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Living Shoreline,High,8,,-211,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Living Shoreline,High,9,,244,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Living Shoreline,High,10,,443.9,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Living Shoreline,Low,1,29,-31.2,6.66,0.4002,Porewater Redox,
North Mill Pond,2019,9/4/2019,Living Shoreline,Low,2,27,18.6,6.94,0.3965,Porewater Redox,
North Mill Pond,2019,9/4/2019,Living Shoreline,Low,3,28,-45.7,6.54,0.1275,Porewater Redox,
North Mill Pond,2019,9/4/2019,Living Shoreline,Low,4,27,-58.6,6.35,0.3524,Porewater Redox,
North Mill Pond,2019,9/4/2019,Living Shoreline,Low,5,24,-37.9,6.88,1.6806,Porewater Redox,
North Mill Pond,2019,9/4/2019,Living Shoreline,Low,6,27,-22.8,6.57,0.0476,Porewater Redox,
North Mill Pond,2019,9/4/2019,Living Shoreline,Low,7,27,-101,6.5,0.1268,Porewater Redox,
North Mill Pond,2019,9/4/2019,Living Shoreline,Low,8,28,-56.8,7.16,0.3487,Porewater Redox,
North Mill Pond,2019,9/4/2019,Living Shoreline,Low,9,32,-75.6,6.44,0.0605,Porewater Redox,
North Mill Pond,2019,9/4/2019,Living Shoreline,Low,10,27,-5.6,6.74,0.291,Porewater Redox,
North Mill Pond,2019,11/3/2019,Reference,High,1,,193.4,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Reference,High,2,,45.7,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Reference,High,3,,,,,No Sample,
North Mill Pond,2019,11/3/2019,Reference,High,4,,388,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Reference,High,5,,-228,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Reference,High,6,,260,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Reference,High,7,,461,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Reference,High,8,,,,,No Sample,
North Mill Pond,2019,11/3/2019,Reference,High,9,,-171,,,Dry Soil Redox,
North Mill Pond,2019,11/3/2019,Reference,High,10,,489,,,Dry Soil Redox,
North Mill Pond,2019,9/4/2019,Reference,Low,1,30,-333.8,6.97,3.06,Porewater Redox,
North Mill Pond,2019,9/4/2019,Reference,Low,2,28,-297.2,6.91,2.1,Porewater Redox,
North Mill Pond,2019,9/4/2019,Reference,Low,3,30,-354.4,7.25,3.1225,Porewater Redox,
North Mill Pond,2019,9/4/2019,Reference,Low,4,30,-372.8,7.77,3.1542,Porewater Redox,
North Mill Pond,2019,9/4/2019,Reference,Low,5,30,-343.2,6.94,3.3177,Porewater Redox,
North Mill Pond,2019,9/4/2019,Reference,Low,6,30,-315.1,7.26,2.0788,Porewater Redox,
North Mill Pond,2019,9/4/2019,Reference,Low,7,30,-351.1,7.42,3.0734,Porewater Redox,
North Mill Pond,2019,9/4/2019,Reference,Low,8,28,-304.8,6.57,2.231,Porewater Redox,
North Mill Pond,2019,9/4/2019,Reference,Low,9,21,-133.6,6.93,0.0742,Porewater Redox,
North Mill Pond,2019,9/4/2019,Reference,Low,10,29,-342.7,6.78,3.1149,Porewater Redox,
North Mill Pond,2019,,No Action Control,High,1,27,62.4,7.14,0.8074,Porewater Redox,No Action Control low marsh substituted for values in fake high marsh
North Mill Pond,2019,,No Action Control,High,2,26,66.6,7.43,0.4028,Porewater Redox,No Action Control low marsh substituted for values in fake high marsh
North Mill Pond,2019,,No Action Control,High,3,26,17.1,7.31,0.2208,Porewater Redox,No Action Control low marsh substituted for values in fake high marsh
North Mill Pond,2019,,No Action Control,High,4,26,-79.8,7.56,0.4343,Porewater Redox,No Action Control low marsh substituted for values in fake high marsh
North Mill Pond,2019,,No Action Control,High,5,,,,,No Sample,No Action Control low marsh substituted for values in fake high marsh
North Mill Pond,2019,,No Action Control,High,6,,,,,No Sample,No Action Control low marsh substituted for values in fake high marsh
North Mill Pond,2019,,No Action Control,High,7,,,,,No Sample,No Action Control low marsh substituted for values in fake high marsh
North Mill Pond,2019,,No Action Control,High,8,,,,,No Sample,No Action Control low marsh substituted for values in fake high marsh
North Mill Pond,2019,,No Action Control,High,9,,,,,No Sample,No Action Control low marsh substituted for values in fake high marsh
North Mill Pond,2019,,No Action Control,High,10,,,,,No Sample,No Action Control low marsh substituted for values in fake high marsh
North Mill Pond,2019,9/4/2019,No Action Control,Low,1,27,62.4,7.14,0.8074,Porewater Redox,
North Mill Pond,2019,9/4/2019,No Action Control,Low,2,26,66.6,7.43,0.4028,Porewater Redox,
North Mill Pond,2019,9/4/2019,No Action Control,Low,3,26,17.1,7.31,0.2208,Porewater Redox,
North Mill Pond,2019,9/4/2019,No Action Control,Low,4,26,-79.8,7.56,0.4343,Porewater Redox,
North Mill Pond,2019,9/4/2019,No Action Control,Low,5,,,,,No Sample,
North Mill Pond,2019,9/4/2019,No Action Control,Low,6,,,,,No Sample,
North Mill Pond,2019,9/4/2019,No Action Control,Low,7,,,,,No Sample,
North Mill Pond,2019,9/4/2019,No Action Control,Low,8,,,,,No Sample,
North Mill Pond,2019,9/4/2019,No Action Control,Low,9,,,,,No Sample,
North Mill Pond,2019,9/4/2019,No Action Control,Low,10,,,,,No Sample,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,Low,1,,221,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,Low,2,,97,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,Low,3,,-116,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,Low,4,,177.9,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,Low,5,,208,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,Low,6,,158,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,Low,7,,232,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,Low,8,,164,,,Dry Soil Redox,
Wagon Hill Farm,2019,10/9/2019,Living Shoreline,Low,9,,214,,,Dry Soil Redox,
