Site,Season,Date,Type,Transect,Plot,Plot ID,Less15m,TOTAL,Bare Mud,Dead,Water,Wrack,ROCK,Sill Fiber,Spartina alterniflora,Spartina patens,Distichlis spicata,Juncus gerardii,Salicornia depressa,Vaucheria,Agalinas maritima,Atriplex patula,Festuca rubra,Limonium nashii,Iva frutecens,Panicum virgatum,Plantago maritima,Polygonum ramosissimum,Puccinellia sp.,Schoenoplectus maritimus,Schoenoplectus robustus,Solidago sempervirens,Spartina pectinata,Spergularia marina,Suaeda linearis,Suaeda maritima,Triglochin maritimum,Agarophyton vermiculophyllum,Algae,Ascophyllum nodosum,Filamentous algae,Fucus spiralis,Fucus vesiculosus,Ulva Spp.,Agrostis stolonifera,Agropyron repens,Agrostis alba,Ambrosia sp.,Amelanchier canadensis,Ammophila breviligulata,Annaphalis sp.,Artemisia vulgaris,Aster sp.,Bidens frondosa,Calamagrostis canadensis,Calystegia sepium,Chenopodium album,Chenopodium rubrum,Clover ,Digitaria grass sp.,Echinola crus-gali,Elymus spp,Elymus virginicus,Juncus balticus,Lactuca sp.,Leersia oryzoides,Lotus corniculatus,Lythrum salicaria,Myrica gale,Myrica pensylvanica,Phalaris arundinacea,Phragmites americanus,Phragmites australis,Polygonum sp.,Rosa multiflora,Rosa rugosa,Rubus sp.,Rumex crispus,Schoenoplectus olneyii,Schoenoplectus pungens,Schoenoplectus validus,Schoenoplectus spp.,Solidago rugosa,Solidago sp.,Steria sp.,Symphyotrichum subulatum,Teucrium canadense,Toxicodendron radicans,Typha angustifolia,Typha latifolia,Vetch,Unknown 1,Unknown 2,Unknown 3,Canopy Height_45,NOTES,Percent Live,Percent Not Live,Percent Native,Percent Invasive,Percent Halo,Percent Algae Total,"Vascular Richness Total
",Richness HALO,Richness Algae,Richness Non-Halo,HMGs
Cutts Cove,2018,Oct-19-2018,Living Shoreline,Low,1,,,100,80,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,,20,80,20,0,20,0,1,1,0,0,0
Cutts Cove,2018,Oct-19-2018,Living Shoreline,Low,2,,,100,70,0,0,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,,30,70,10,0,10,20,1,1,1,0,0
Cutts Cove,2018,Oct-19-2018,Living Shoreline,Low,3,,,100,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,25,75,25,0,25,0,1,1,0,0,0
Cutts Cove,2018,Oct-19-2018,Living Shoreline,Low,4,,,100,20,0,0,0,0,0,20,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,,80,20,20,0,20,60,1,1,1,0,0
Cutts Cove,2018,Oct-19-2018,Living Shoreline,Low,5,,,100,25,0,0,0,0,0,25,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,,75,25,25,0,25,50,1,1,1,0,0
Cutts Cove,2018,Oct-19-2018,Living Shoreline,Low,6,,,100,65,0,0,0,0,0,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,,35,65,25,0,25,10,1,1,1,0,0
Cutts Cove,2018,Oct-19-2018,Living Shoreline,Low,7,,,100,70,0,0,0,0,0,15,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,,30,70,25,0,25,5,2,2,1,0,10
Cutts Cove,2018,Oct-19-2018,Living Shoreline,Low,8,,,100,83,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,,17,83,15,0,15,2,1,1,2,0,0
Cutts Cove,2018,Oct-19-2018,Living Shoreline,Low,9,,,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0,0,0,0,0,0,0,0,0
Cutts Cove,2018,Oct-19-2018,Living Shoreline,Low,10,,,100,20,0,0,0,0,0,20,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,,80,20,20,0,20,60,1,1,1,0,0
