Site,Season,Type,LS Age,Transect,Replicate,Total_Nekton,Total_Mumm,"Mumm
Females","Mumm
Males",Mumm Juveniles,Mumm_F_Length,Mumm_M_Length,Mumm_Juv_Length,Mumm_Avg_Length,Mumm_Adult_Length,Notes on Modified Data
Cutts Cove,2020,Living Shoreline,2,Low,1,1,1,0,1,0,,47,,47,47,
Cutts Cove,2020,Living Shoreline,2,Low,2,1,1,0,0,1,,,44,44,,
Cutts Cove,2020,Living Shoreline,2,Low,3,63,63,10,10,10,50,50.9,40.7,47.2,50.5,
Cutts Cove,2020,Living Shoreline,2,Low,4,112,112,10,10,10,52.5,55.6,41.5,49.9,54.1,
Cutts Cove,2020,Living Shoreline,2,Low,5,1,1,1,0,0,57,,,57,57,
Cutts Cove,2020,Living Shoreline,2,Low,6,1,1,1,0,0,51,,,51,51,
Cutts Cove,2020,Living Shoreline,2,Low,7,26,26,10,5,9,53.8,51,42.8,49.1,52.9,
Cutts Cove,2020,Living Shoreline,2,Low,8,0,0,0,0,0,,,,,,
Cutts Cove,2020,Living Shoreline,2,Low,9,0,0,0,0,0,,,,,,
Cutts Cove,2020,Living Shoreline,2,Low,10,0,0,0,0,0,,,,,,
Cutts Cove,2020,No Action Control,,Low,1,10,10,6,1,3,46,55,42,45.7,47.3,
Cutts Cove,2020,No Action Control,,Low,2,0,0,0,0,0,,,,,,
Cutts Cove,2020,No Action Control,,Low,3,0,0,0,0,0,,,,,,
Cutts Cove,2020,No Action Control,,Low,4,0,0,0,0,0,,,,,,
Cutts Cove,2020,No Action Control,,Low,5,0,0,0,0,0,,,,,,
Cutts Cove,2020,No Action Control,,Low,6,0,0,0,0,0,,,,,,
Cutts Cove,2020,No Action Control,,Low,7,0,0,0,0,0,,,,,,
Cutts Cove,2020,No Action Control,,Low,8,0,0,0,0,0,,,,,,
Cutts Cove,2020,No Action Control,,Low,9,0,0,0,0,0,,,,,,
Cutts Cove,2020,No Action Control,,Low,10,0,0,0,0,0,,,,,,
Cutts Cove,2020,Reference,,Low,1,2,2,1,0,1,60,,44,52,60,
Cutts Cove,2020,Reference,,Low,2,4,4,1,1,2,58,61,43.5,51.5,59.5,
Cutts Cove,2020,Reference,,Low,3,2,2,1,1,0,58,46,,52,52,
Cutts Cove,2020,Reference,,Low,4,12,12,2,6,4,45.5,47.2,42.3,45.3,46.8,
Cutts Cove,2020,Reference,,Low,5,1,1,1,0,0,50,,,50,50,
Cutts Cove,2020,Reference,,Low,6,150,150,10,10,10,55.6,52.6,42.2,50.1,54.1,
Cutts Cove,2020,Reference,,Low,7,0,0,0,0,0,,,,,,
Cutts Cove,2020,Reference,,Low,8,0,0,0,0,0,,,,,,
Cutts Cove,2020,Reference,,Low,9,0,0,0,0,0,,,,,,
Cutts Cove,2020,Reference,,Low,10,0,0,0,0,0,,,,,,
Cutts Cove,2021,Living Shoreline,3,Low,1,0,0,0,0,0,,,,,,
Cutts Cove,2021,Living Shoreline,3,Low,2,0,0,0,0,0,,,,,,
Cutts Cove,2021,Living Shoreline,3,Low,3,3,3,1,2,0,48,73,,60.5,60.5,
Cutts Cove,2021,Living Shoreline,3,Low,4,15,15,4,10,0,59.8,70.9,,65.3,65.3,
Cutts Cove,2021,Living Shoreline,3,Low,5,0,0,0,0,0,,,,,,
Cutts Cove,2021,Living Shoreline,3,Low,6,0,0,0,0,0,,,,,,
Cutts Cove,2021,Living Shoreline,3,Low,7,0,0,0,0,0,,,,,,
Cutts Cove,2021,Living Shoreline,3,Low,8,2,2,2,0,0,50,,,50,50,
Cutts Cove,2021,Living Shoreline,3,Low,9,0,0,0,0,0,,,,,,
Cutts Cove,2021,Living Shoreline,3,Low,10,0,0,0,0,0,,,,,,
Cutts Cove,2021,Living Shoreline,3,Low,11,3,3,2,1,0,51,53,,52,52,
