Site,Year,LS_Age,Group,Weighted,Unweighted,NoNekton,PW_Corrected_Nekton,PW_Corrected_NoNekton
Cutts Cove,2019,1,Vegetation,0.38,0.76,0.38,0.76,0.38
Cutts Cove,2020,2,Vegetation,0.22,0.67,0.34,0.67,0.34
Cutts Cove,2021,4,Vegetation,0.22,0.67,0.34,0.67,0.34
Cutts Cove,2019,1,Total Site RPI,0.38,0.38,0.38,0.38,0.38
Cutts Cove,2020,2,Total Site RPI,0.51,0.51,0.37,0.51,0.37
Cutts Cove,2021,4,Total Site RPI,0.5,0.5,0.66,0.37,0.46
Cutts Cove,2019,1,Pore Water Chemistry,0,0,0,0,0
Cutts Cove,2020,2,Pore Water Chemistry,0.02,0.06,0.03,0.06,0.03
Cutts Cove,2021,4,Pore Water Chemistry,0.21,0.64,0.32,0.23,0.12
Cutts Cove,2019,1,Nekton,,,,,
Cutts Cove,2020,2,Nekton,0.28,0.84,,0.84,
Cutts Cove,2021,4,Nekton,0.06,0.19,,0.19,
North Mill Pond,2019,3,Vegetation,0.31,0.62,0.31,0.62,0.31
North Mill Pond,2020,4,Vegetation,0.24,0.71,0.36,0.71,0.36
North Mill Pond,2019,3,Total Site RPI,0.48,0.48,0.48,0.42,0.42
North Mill Pond,2020,4,Total Site RPI,0.56,0.56,0.52,0.54,0.48
North Mill Pond,2019,3,Pore Water Chemistry,0.17,0.34,0.17,0.22,0.11
North Mill Pond,2020,4,Pore Water Chemistry,0.11,0.32,0.16,0.24,0.12
North Mill Pond,2019,3,Nekton,,,,,
North Mill Pond,2020,4,Nekton,0.22,0.9,,0.9,
Wagon Hill Farm,2019,0,Vegetation,0.05,0.09,0.05,0.09,0.05
Wagon Hill Farm,2020,1,Vegetation,0.15,0.46,0.23,0.46,0.23
Wagon Hill Farm,2022,3,Vegetation,0.26,0.77,0.39,0.77,0.39
Wagon Hill Farm,2019,0,Total Site RPI,0.05,0.05,0.05,0.05,0.05
Wagon Hill Farm,2020,1,Total Site RPI,0.38,0.38,0.23,0.38,0.23
Wagon Hill Farm,2022,3,Total Site RPI,0.64,0.64,0.55,0.64,0.55
Wagon Hill Farm,2019,0,Pore Water Chemistry,0,0.01,0.01,0.01,0.01
Wagon Hill Farm,2020,1,Pore Water Chemistry,0,0,0,0,0
Wagon Hill Farm,2022,3,Pore Water Chemistry,0.11,0.32,0.16,0.32,0.16
Wagon Hill Farm,2019,0,Nekton,,,,,
Wagon Hill Farm,2020,1,Nekton,0.23,0.68,,0.68,
Wagon Hill Farm,2022,3,Nekton,0.28,0.83,,0.83,
