Site,Season,Date,Type,LS_Age,Plot,Plot_ID,AlgaeCover,InvertDensity,SnailDensity,BarnacleDensity,NonFFDensity,FFDensity
Cutts Cove,2019,8/7/2019,Living Shoreline,1,1,CCS1,45,206,6,200,6,200
Cutts Cove,2019,8/7/2019,Living Shoreline,1,2,CCS2,25,66,16,50,16,50
Cutts Cove,2019,8/7/2019,Living Shoreline,1,3,CCS3,30,56,16,40,16,40
Cutts Cove,2019,8/7/2019,Living Shoreline,1,4,CCS4,45,96,56,40,56,40
Cutts Cove,2019,8/7/2019,Living Shoreline,1,5,CCS5,45,100,60,40,60,40
Cutts Cove,2019,8/7/2019,Living Shoreline,1,6,CCS6,30,82,58,20,62,20
Cutts Cove,2019,8/7/2019,Living Shoreline,1,7,CCS7,50,68,68,0,68,0
Cutts Cove,2019,8/7/2019,Living Shoreline,1,8,CCS8,45,288,84,200,88,200
Cutts Cove,2019,8/7/2019,Living Shoreline,1,9,CCS9,95,142,42,100,42,100
Cutts Cove,2019,8/7/2019,Living Shoreline,1,10,CCS10,55,58,38,20,38,20
North Mill Pond,2019,7/29/2019,Living Shoreline,3,1,NMPS1,0,0,0,0,0,0
North Mill Pond,2019,7/29/2019,Living Shoreline,3,2,NMPS2,0,0,0,0,0,0
North Mill Pond,2019,7/29/2019,Living Shoreline,3,3,NMPS3,0,0,0,0,0,0
North Mill Pond,2019,7/29/2019,Living Shoreline,3,4,NMPS4,0,0,0,0,0,0
North Mill Pond,2019,7/29/2019,Living Shoreline,3,5,NMPS5,0,0,0,0,0,0
North Mill Pond,2019,7/29/2019,Living Shoreline,3,6,NMPS6,0,0,0,0,0,0
North Mill Pond,2019,7/29/2019,Living Shoreline,3,7,NMPS7,0,0,0,0,0,0
North Mill Pond,2019,7/29/2019,Living Shoreline,3,8,NMPS8,0,0,0,0,0,0
North Mill Pond,2019,7/29/2019,Living Shoreline,3,9,NMPS9,0,0,0,0,0,0
North Mill Pond,2019,7/29/2019,Living Shoreline,3,10,NMPS10,0,0,0,0,0,0
Wagon Hill Farm,2019,8/1/2019,Living Shoreline,0,1,WHFS1,0,0,0,0,0,0
Wagon Hill Farm,2019,8/1/2019,Living Shoreline,0,2,WHFS2,15,0,0,0,0,0
Wagon Hill Farm,2019,8/1/2019,Living Shoreline,0,3,WHFS3,2,0,0,0,0,0
Wagon Hill Farm,2019,8/1/2019,Living Shoreline,0,4,WHFS4,1,0,0,0,0,0
Wagon Hill Farm,2019,8/1/2019,Living Shoreline,0,5,WHFS5,1,0,0,0,0,0
Wagon Hill Farm,2019,8/1/2019,Living Shoreline,0,6,WHFS6,0,0,0,0,0,0
Wagon Hill Farm,2019,8/1/2019,Living Shoreline,0,7,WHFS7,0,0,0,0,0,0
Wagon Hill Farm,2019,8/1/2019,Living Shoreline,0,8,WHFS8,10,0,0,0,0,0
Wagon Hill Farm,2019,8/1/2019,Living Shoreline,0,9,WHFS9,1,0,0,0,0,0
Wagon Hill Farm,2019,8/1/2019,Living Shoreline,0,10,WHFS10,0,0,0,0,0,0
Cutts Cove,2020,8/25/2020,Living Shoreline,2,1,CCS1,85,246,6,240,6,240
Cutts Cove,2020,8/25/2020,Living Shoreline,2,2,CCS2,50,284,4,280,4,280
Cutts Cove,2020,8/25/2020,Living Shoreline,2,3,CCS3,70,164,14,150,14,150
Cutts Cove,2020,8/25/2020,Living Shoreline,2,4,CCS4,41,174,24,150,24,150
Cutts Cove,2020,8/25/2020,Living Shoreline,2,5,CCS5,36,310,10,300,10,300
Cutts Cove,2020,8/25/2020,Living Shoreline,2,6,CCS6,81,170,10,160,10,160
Cutts Cove,2020,8/25/2020,Living Shoreline,2,7,CCS7,65,60,40,20,40,20
Cutts Cove,2020,8/25/2020,Living Shoreline,2,8,CCS8,50,216,16,200,16,200
Cutts Cove,2020,8/25/2020,Living Shoreline,2,9,CCS9,45,8,6,0,8,0
Cutts Cove,2020,8/25/2020,Living Shoreline,2,10,CCS10,80,180,30,150,30,150
North Mill Pond,2020,8/25/2020,Living Shoreline,4,1,NMPS1,0,0,0,0,0,0
North Mill Pond,2020,8/25/2020,Living Shoreline,4,2,NMPS2,0,2,2,0,2,0
North Mill Pond,2020,8/25/2020,Living Shoreline,4,3,NMPS3,0,2,2,0,2,0
North Mill Pond,2020,8/25/2020,Living Shoreline,4,4,NMPS4,0,0,0,0,0,0
North Mill Pond,2020,8/25/2020,Living Shoreline,4,5,NMPS5,0,0,0,0,0,0
North Mill Pond,2020,8/25/2020,Living Shoreline,4,6,NMPS6,0,0,0,0,0,0
North Mill Pond,2020,8/25/2020,Living Shoreline,4,7,NMPS7,0,0,0,0,0,0
North Mill Pond,2020,8/25/2020,Living Shoreline,4,8,NMPS8,0,0,0,0,0,0
North Mill Pond,2020,8/25/2020,Living Shoreline,4,9,NMPS9,0,0,0,0,0,0
North Mill Pond,2020,8/25/2020,Living Shoreline,4,10,NMPS10,0,0,0,0,0,0
Wagon Hill Farm,2020,8/20/2020,Living Shoreline,1,1,WHFS1,1,0,0,0,0,0
Wagon Hill Farm,2020,8/20/2020,Living Shoreline,1,2,WHFS2,1,0,0,0,0,0
Wagon Hill Farm,2020,8/20/2020,Living Shoreline,1,3,WHFS3,1,0,0,0,0,0
Wagon Hill Farm,2020,8/20/2020,Living Shoreline,1,4,WHFS4,10,0,0,0,0,0
Wagon Hill Farm,2020,8/20/2020,Living Shoreline,1,5,WHFS5,15,0,0,0,0,0
Wagon Hill Farm,2020,8/20/2020,Living Shoreline,1,6,WHFS6,20,0,0,0,0,0
Wagon Hill Farm,2020,8/20/2020,Living Shoreline,1,7,WHFS7,1,0,0,0,0,0
Wagon Hill Farm,2020,8/20/2020,Living Shoreline,1,8,WHFS8,20,0,0,0,0,0
Wagon Hill Farm,2020,8/20/2020,Living Shoreline,1,9,WHFS9,5,6,2,4,2,4
Wagon Hill Farm,2020,8/20/2020,Living Shoreline,1,10,WHFS10,10,0,0,0,0,0
Cutts Cove,2021,8/18/2021,Living Shoreline,3,1,CCS1,70,50,8,40,8,40
Cutts Cove,2021,8/18/2021,Living Shoreline,3,2,CCS2,80,118,16,100,16,100
Cutts Cove,2021,8/18/2021,Living Shoreline,3,3,CCS3,90,104,24,80,24,80
Cutts Cove,2021,8/18/2021,Living Shoreline,3,4,CCS4,50,148,44,100,48,100
Cutts Cove,2021,8/18/2021,Living Shoreline,3,5,CCS5,85,100,46,54,46,54
Cutts Cove,2021,8/18/2021,Living Shoreline,3,6,CCS6,90,42,20,16,20,16
Cutts Cove,2021,8/18/2021,Living Shoreline,3,7,CCS7,90,44,16,26,18,26
Cutts Cove,2021,8/18/2021,Living Shoreline,3,8,CCS8,95,256,240,12,244,12
Cutts Cove,2021,8/18/2021,Living Shoreline,3,9,CCS9,55,96,56,34,62,34
Cutts Cove,2021,8/18/2021,Living Shoreline,3,10,CCS10,80,100,88,10,88,12
